Date;AA;AIG;ATT;AXP;BA;CAT;CITI;DD;DIS;GE;GM;HD;HON;HP;IBM;INT;JNJ;JPM;KO;MCD;MMM;MO;MRK;MSFT;PFE;PG;UTX;VZ;WM;XON
31.мар.05;29,75;55,02;22,17;44,56;57,54;44,77;43,19;49,5;28,43;35,09;27,67;37,82;36,39;21,69;90,47;22,9;65,77;33,03;40,58;30,51;83,74;62,64;30,82;23,87;25,44;51,66;50;33,42;49,64;58,4
01.апр.05;29,63;50,59;22,14;44,15;57,86;44,14;42,88;49,11;28,28;34,51;27,66;37,19;36,19;21,46;89,54;22,68;65,47;32,7;40,29;30,38;83,19;62,43;30,77;23,82;25,32;51,28;49,65;33,13;48,53;59,33
04.апр.05;29,45;52,93;22,38;44,5;57,41;44,17;42,85;48,72;28,13;34,29;27,35;37,5;36,03;21,66;89,43;22,6;66,57;32,57;40,38;30,37;82,78;61,75;30,95;23,93;25,11;52,53;49,11;33,56;48,95;59,43
05.апр.05;29,35;52,63;22,65;44,43;57,41;44,24;43,19;49,05;28,24;34,54;27,34;37,81;36,3;21,32;88,68;22,8;67,58;33,35;40,76;30,58;82,55;62,26;31,46;24,17;26,05;52,63;49,07;33,67;49,21;58,85
06.апр.05;29,35;52,62;22,68;44,69;57,51;44,74;43,39;49,22;28,11;34,54;28,11;37,38;36,76;21,52;88,12;22,72;67,39;33,44;40,62;30,86;82,89;62,78;31,32;24,37;26,01;52,59;49,38;33,81;49,04;59,67
07.апр.05;30,81;52,39;22,61;44,89;58,08;44,84;43,69;49,79;28,4;34,82;28,74;36,99;37,04;21,55;87,56;23,07;67,81;33,56;41,02;30,84;83,23;62,91;31,89;24,79;26,05;53,67;50,01;33,72;48,44;59,62
08.апр.05;30,95;51,55;22,53;44,7;57,68;44,4;43,63;48,98;28,1;34,78;27,77;37,07;36,75;21,39;86,73;22,96;67,22;33,27;41;30,51;82,63;62,77;31,74;24,63;25,76;53,12;49,58;33,39;48,12;58,8
11.апр.05;30,51;51,73;22,6;44,51;58,47;44,15;43,83;48,67;27,83;34,85;27,53;37,33;36,56;21,33;85,35;22,79;67,46;33,38;40,77;30,18;82,55;62,79;31,56;24,66;25,62;53,94;49,66;33,23;48,06;59,07
12.апр.05;30,66;52,83;22,66;45,24;57,53;44,74;44,64;48,35;27,84;35,12;27,3;38,13;36,63;21,46;84,9;22,89;67,22;33,79;41,22;30,28;83,31;62,44;32,19;25,01;26,03;54,11;50,21;33,51;48,18;59,21
13.апр.05;29,76;51,25;22,6;45,17;57,75;43,38;44,03;47,04;27,41;34,68;26,67;37,49;36,23;21,7;83,73;22,49;67,17;33,34;41;30,59;82,31;63,1;32,87;24,73;26,42;53,81;49,7;33,23;48,12;57,96
14.апр.05;29,27;51,03;22,43;44,33;57,25;41,81;43,63;45,75;27,34;34,54;25,1;36,74;35,54;21,5;82,81;22,17;67,82;32,97;40,97;30,14;80,51;62,73;33,12;24,53;26,58;53,61;49,01;33,22;47,51;57,57
15.апр.05;28,68;50,75;21,82;43,99;56,1;40,86;43,97;44,97;27,08;34,79;24,1;35,72;34,88;20,6;75,94;21,8;67,96;32,72;40,21;29,69;79,02;62,24;33,14;24,16;26,83;53,41;47,98;32,52;47,25;55,06
18.апр.05;28,97;50,9;22,01;44,17;56,02;40,92;44,41;45,6;26,66;35,03;24,65;36,33;35,05;20,21;75,89;21,89;67,61;33,4;39,9;29,49;74,18;61,05;32,78;24,35;26,73;53,22;48,3;32,37;47,43;56,1
19.апр.05;28,77;51,22;22,01;43,84;57,18;41,59;44,55;46,5;26,86;35,03;24,56;36,06;35,7;20,42;74,73;22,31;67,62;33,7;41,29;29,57;75,18;61,42;33,02;24,33;26,55;52,95;48,33;32,53;47,16;57,45
20.апр.05;28,29;50,65;21,78;43,39;56,33;43,1;44,33;45,65;26,34;34,56;24,31;35,21;34,65;20,36;71,3;22,34;66,69;33,52;40,78;29,34;74,18;60,11;32,44;24,02;25,91;52,31;48,71;32,16;46,91;55,99
21.апр.05;28,93;51,54;21,99;43,71;58,15;44,1;44,47;46,8;27,38;35,15;24,48;36,27;35,57;20,84;73,3;23,03;66,88;33,79;40,88;29,25;76,12;62,56;32,64;24,97;26,39;53,09;50,36;32,62;47,33;58,09
22.апр.05;28,59;50;22,01;43,2;56,97;44,18;44,52;46,47;27,01;35,13;25,17;35,63;35,26;20,54;73,47;22,91;67,07;33,63;41,02;29,46;75,31;62,07;32,56;24,67;26,36;52,8;49,95;32,43;46,37;58,22
25.апр.05;28,82;51,4;22,12;44,21;58,64;44,83;44,96;46,93;26,91;35,4;25,18;35,8;35,52;20,86;73,87;23,07;67,12;33,92;41,56;29,67;75,75;62,56;32,3;24,68;26,17;52,74;50,3;32,43;46,58;58,75
26.апр.05;28,24;50,71;21,97;44,71;58,07;43,71;44,81;45,43;26,52;35,2;24,96;35,8;35,5;20,24;74,68;22,99;66,61;33,83;41,83;29,4;74,4;61,3;31,99;24,45;26,06;52,29;49,82;32,37;46,56;58,08
27.апр.05;28,13;51,49;22,23;45,19;58,72;43,31;45,22;44,89;26,56;35,42;25,38;35,64;35,56;19,94;76,29;23,17;66,92;34,23;41,7;29,55;74,86;62,11;31,89;24,68;26,07;52,44;49,96;33,53;46,85;57,2
28.апр.05;27,97;50,78;22,31;44,84;57,8;42,65;44,81;44,4;25,63;34,71;25,18;34,71;35,14;20,07;75,16;22,86;66,26;33,77;41,57;29,01;73,52;61,75;32,17;24,15;25,84;52,89;49,11;33,37;46,61;54,87
29.апр.05;28,41;50,49;22,57;45,71;58,58;43,31;45,56;45,51;26,12;35,22;25,12;34,98;34,97;20,24;75,62;23,18;67,21;34,22;42,3;28,72;74,73;62,25;32,28;24,99;26,31;53,05;50,03;34,09;46,7;55,88
02.май.05;28,58;53,06;22,56;46,01;58,45;43,48;45,14;45,59;26,05;35,27;25,57;35,86;35,37;20,73;75,75;23,21;67,36;34,3;42,43;28,98;75,13;62,65;32,37;24,92;26,54;53,69;49,9;33,3;47,35;56,58
03.май.05;28,68;52,93;22,57;45,97;58,93;43,08;45,4;46,12;25,97;35,13;26,14;36,35;34,52;20,76;75,71;23,49;67,31;34,23;42,61;29,2;75,02;63,21;32,77;25,05;26,63;53,79;49,66;33,01;47,95;55,36
04.май.05;28,99;53,99;22,57;46,42;59,33;43,98;45,57;46,97;26,51;35,22;30,88;36,7;34,74;20,79;76,32;23,84;66,81;34,81;42,78;29,52;75,59;63,94;33,26;24,9;26,95;54,02;50,27;33,04;48;56,08
05.май.05;28,88;53,54;22,46;46,13;58,8;44,2;45,48;46,57;26,43;34,88;29,05;36,45;34,4;20,69;74,75;23,99;67,09;34,62;42,99;29,34;75,71;64,01;33,09;24,92;26,97;53,67;50,36;32,66;48,12;56,64
06.май.05;28,85;53,76;22,4;45,97;60,05;44,35;45,2;46,42;26,61;34,88;28,96;36,75;36,04;20,74;74,71;24,22;66,8;34,34;43,03;28,79;75,57;63,51;32,53;24,91;26,74;53,64;50,18;32,91;48,5;56,44
09.май.05;28,88;54,2;22,37;45,79;59,61;44,41;45,45;46,63;26,78;35,25;29,49;36,84;36,06;20,5;74,43;24,53;66,76;34,68;43,4;29,51;75,97;63,33;32,56;24,8;27,08;53,86;50,68;32,89;48,79;56,84
10.май.05;28,17;52,9;22,24;45,52;60,08;44,1;45;45,98;26,67;34,86;29,68;36,06;35,73;20,22;72,77;24,4;66,33;33,89;43,07;29,49;74,87;62,99;32,26;24,59;26,78;53,77;50,14;32,69;48,26;56,08
11.май.05;27,95;52,84;22,1;45,43;59,69;44,71;45,31;46,18;26,39;35,21;29,18;36,12;35,86;20,33;72,75;24,5;66,54;34,04;43,11;29,25;75,24;62,64;31,9;24,6;26,96;54,35;51,14;32,73;48,15;56,42
12.май.05;27,11;52,11;22,05;45,22;59,78;43,72;45,02;45,34;26,47;34,9;28,82;35,83;35,47;19,92;72,09;24,57;66,25;33,59;43,01;29,18;74,06;62,4;32,03;24,69;26,94;54,31;50,15;32,65;47,2;53,99
13.май.05;26,27;51,68;21,89;44,89;58,81;43,78;44,54;45,02;26,72;34,74;29,16;35,89;35,14;20,39;72,63;24,84;66,03;33,23;42,95;29,05;73,89;62,21;31,86;24,99;27,16;53,64;49,73;32,46;46,69;52,89
16.май.05;26,17;52,44;22,15;45,5;59,7;44,46;45,4;45,31;26,79;35,26;29,19;36,96;35,73;20,77;73,8;25,05;66,56;33,5;43,1;29,28;74,68;63,32;31,85;25,25;27,53;54,02;50,55;32,85;46,78;52,54
17.май.05;26,77;53,01;22,28;45,66;60,2;45,23;45,75;45,84;26,99;35,48;29,52;38,44;35,4;21,31;73,75;25,42;66,83;33,95;43,24;29,37;75,26;63,51;31,43;25,23;27,5;54,5;51,47;32,91;46,56;53,04
18.май.05;27,4;52,88;22,46;46,44;60,97;46;46,32;46,77;27,21;35,91;30,24;39,37;36,31;22,29;75,8;25,64;66,53;34,76;43,74;29,97;76,75;63,92;31,37;25,46;27,73;55,26;52,23;33,12;47,29;52,84
19.май.05;27,23;52,63;22,51;46,18;60,63;45,99;46,41;46,36;27,65;35,93;31,33;39,7;36,54;22,25;76,6;25,72;66,34;34,9;44,06;30,35;76,51;64,56;31,22;25,68;28;55,47;51,86;33,38;47,22;54
20.май.05;27,01;53,38;22,41;46,02;61,18;46,06;46,37;45,73;27,54;36;31,55;39,2;36,54;22,25;75,85;26,06;66,13;34,77;43,87;30,32;75,72;64,92;31,06;25,5;27,87;55,33;51,94;33,52;46,89;53,19
23.май.05;27,3;53,07;22,48;46,01;60,92;46,26;46,18;46,1;27,26;36,18;31,18;39,52;36,65;22,29;75,95;26,21;66,19;34,63;43,79;30,69;77,17;65,08;31,07;25,61;28,04;55,33;53,17;33,66;47,55;53,92
24.май.05;27,02;53,42;22,39;45,88;61,52;46,15;46,29;45,84;27,37;36,07;30,32;39,42;36,66;22,46;75,26;26,66;66,53;34,61;43,84;30,25;76,83;65,14;31,17;25,51;28,12;54,86;52,85;33,52;47,36;54,21
25.май.05;26,73;53,7;22,34;45,65;60,73;45,48;46,03;45,49;27,36;35,87;30,13;38,94;36,03;22,56;75,45;26,7;66,4;34,63;43,72;30,27;75,72;64,96;30,98;25,47;27,95;54,6;52,77;33,71;47,01;54,84
26.май.05;26,9;55,32;22,43;45,87;62,25;46,45;45,97;45,79;27,51;35,94;30,57;39,48;36,05;22,74;76,58;27,07;66,35;34,66;43,71;30,85;75,64;64,83;30,8;25,66;28,18;54,68;53,16;33,66;47,02;55,37
27.май.05;27,03;56;22,45;46,19;62,28;46,39;45,87;45,63;27,59;35,89;30,45;39,53;36,03;22,51;76,54;27,09;66,36;34,52;43,75;30,63;75,64;64,7;30,9;25,83;27,64;54,63;53,29;33,76;46,98;55,94
31.май.05;26,67;55,16;22,18;46,71;63,15;46,29;45,7;45,28;27,15;35,5;30,17;38,92;35,64;22,25;75;26,66;66,03;34,47;43,46;30,32;75,32;64,31;30,89;25,56;27,2;54,03;52,7;33,69;46,94;55,35
01.июн.05;27,22;55,83;22,08;46,91;63,06;46,96;46,3;45,82;27,29;35,93;30,03;39,5;35,88;22,42;76,28;26,99;66,24;34,48;43,42;30,4;75,66;64,23;31,01;25,57;27,47;54,98;53,09;33,67;47,62;56,28
02.июн.05;27,33;55,62;22,21;47,05;63,63;46,82;46,29;45,33;27,15;35,91;29,89;39,9;36,03;22,42;76,79;27,29;65,94;34,47;43,61;30,49;75,24;64,77;31,05;25,55;27,5;54,83;52,9;33,49;47,92;56,45
03.июн.05;26,88;54,83;22,14;46,99;63,9;46,22;46,14;44,89;27,03;35,71;29,59;39,29;35,75;22,46;75,24;27,03;65,38;34,28;43,07;29,9;74,68;64,41;30,92;25,2;27,26;54,15;52,48;33,49;47,06;56,28
06.июн.05;26,89;54,59;22,1;46,96;64,78;46,31;46,27;45,49;26,8;35,62;29,11;39,51;35,77;22,32;74,45;26,87;65,32;34,24;42,82;29,8;74,84;64,34;30,86;25,14;27,31;54,19;52,83;33,34;47,44;56,73
